timestamp	experiment	pipeline	sector	before	after	delta	hypothesis	kept
2026-03-13T10:51:24.403766+00:00	1	graph	all	0.0	0.0	+0.0	HYPOTHESIS: The graph pipeline fails because Neo4j queries return too many entities without clear co	True
2026-03-13T11:35:33.163543+00:00	2	graph	all	0.0	0.0	+0.0	HYPOTHESIS: The graph pipeline fails because Neo4j queries return raw node/relationship data that la	True
2026-03-13T12:22:07.221195+00:00	3	graph	all	0.0	0.0	+0.0	HYPOTHESIS: The graph pipeline fails because Neo4j queries return too many entities without context,	True
2026-03-13T13:08:53.101800+00:00	4	graph	all	0.0	0.0	+0.0	HYPOTHESIS: The graph pipeline fails because Neo4j queries return raw node/relationship data that la	True
2026-03-13T13:54:47.343505+00:00	5	graph	all	0.0	0.0	+0.0	HYPOTHESIS: The graph pipeline fails because Neo4j queries return raw node/relationship data that la	True
2026-03-13T14:29:37.068634+00:00	6	graph	all	0.0	0.0	+0.0	HYPOTHESIS: The graph pipeline fails because Neo4j Cypher queries return raw node/relationship data 	True
2026-03-13T15:15:14.735335+00:00	7	graph	all	0.0	0.0	+0.0	HYPOTHESIS: The graph pipeline fails because Neo4j queries return raw node/relationship data that la	True
2026-03-13T16:01:48.783334+00:00	8	graph	all	0.0	0.0	+0.0	HYPOTHESIS: The graph pipeline fails because Neo4j Cypher queries return raw node/relationship data 	True
2026-03-13T16:47:59.609569+00:00	9	graph	all	0.0	0.0	+0.0	HYPOTHESIS: The graph pipeline fails because Neo4j queries return raw node/relationship data that ov	True
2026-03-13T17:32:36.410885+00:00	10	graph	all	0.0	0.0	+0.0	HYPOTHESIS: The graph pipeline fails because Neo4j queries return raw node/relationship data that la	True
2026-03-13T18:18:03.009889+00:00	11	graph	all	0.0	0.0	+0.0	HYPOTHESIS: The graph pipeline fails because Neo4j Cypher queries return entities in an unstructured	True
2026-03-13T19:02:08.906103+00:00	12	graph	all	0.0	0.0	+0.0	HYPOTHESIS: The graph pipeline fails because Neo4j queries return raw node/relationship data that la	True
2026-03-13T19:47:09.763715+00:00	13	graph	all	0.0	0.0	+0.0	HYPOTHESIS: The graph pipeline fails because Neo4j queries return raw node IDs instead of human-read	True
2026-03-13T20:30:29.685849+00:00	14	graph	all	0.0	0.0	+0.0	HYPOTHESIS: The graph pipeline fails because Neo4j queries return too many entities without clear co	True
2026-03-13T21:14:48.257098+00:00	15	graph	all	0.0	0.0	+0.0	HYPOTHESIS: The graph pipeline fails because Neo4j queries return raw node/relationship data that la	True
2026-03-13T21:57:36.011379+00:00	16	graph	all	0.0	0.0	+0.0	HYPOTHESIS: The graph pipeline fails because Neo4j queries return raw node/relationship data that la	True
2026-03-13T22:40:43.941435+00:00	17	graph	all	0.0	0.0	+0.0	HYPOTHESIS: The graph pipeline fails because Neo4j queries return too many entities without clear co	True
2026-03-13T23:24:10.805203+00:00	18	graph	all	0.0	0.0	+0.0	HYPOTHESIS: The graph pipeline fails because Neo4j queries return raw node/relationship data that la	True
2026-03-14T00:07:59.054691+00:00	19	graph	all	0.0	0.0	+0.0	HYPOTHESIS: The graph pipeline fails because Neo4j queries return raw node/relationship data that la	True
2026-03-14T00:51:40.676429+00:00	20	graph	all	0.0	0.0	+0.0	HYPOTHESIS: The graph pipeline fails because Neo4j queries return too many entities without context,	True
2026-03-14T01:35:34.641446+00:00	21	graph	all	0.0	0.0	+0.0	HYPOTHESIS: The graph pipeline fails because Neo4j queries return raw node IDs instead of human-read	True
2026-03-14T02:20:21.119983+00:00	22	graph	all	0.0	0.0	+0.0	HYPOTHESIS: The graph pipeline fails because Neo4j queries return too many entities without context,	True
2026-03-14T03:03:12.127306+00:00	23	graph	all	0.0	0.0	+0.0	HYPOTHESIS: The graph pipeline fails because Neo4j queries return raw node/relationship data that la	True
2026-03-14T03:46:40.787345+00:00	24	graph	all	0.0	0.0	+0.0	HYPOTHESIS: The graph pipeline fails because Neo4j queries return too many entities without clear co	True
2026-03-14T04:30:05.161028+00:00	25	graph	all	0.0	0.0	+0.0	HYPOTHESIS: The graph pipeline fails because Neo4j Cypher queries return too many entities without c	True
2026-03-14T05:13:14.036193+00:00	26	graph	all	0.0	0.0	+0.0	HYPOTHESIS: The graph pipeline fails because Neo4j queries return raw node/relationship data that la	True
2026-03-14T05:56:35.983890+00:00	27	graph	all	0.0	0.0	+0.0	HYPOTHESIS: The graph pipeline fails because Neo4j queries return raw node/relationship data that la	True
2026-03-14T06:39:50.463174+00:00	28	graph	all	0.0	0.0	+0.0	HYPOTHESIS: The graph pipeline fails because Neo4j Cypher queries return too many entities without p	True
2026-03-14T07:23:28.627494+00:00	29	graph	all	0.0	0.0	+0.0	HYPOTHESIS: The graph pipeline fails because Neo4j Cypher queries return too many entities without p	True
2026-03-14T08:06:40.330690+00:00	30	graph	all	0.0	0.0	+0.0	HYPOTHESIS: The graph pipeline fails because Neo4j queries return too many entities without clear co	True
2026-03-14T08:43:28.193380+00:00	31	quantitative	all	0.0	0.0	+0.0	HYPOTHESIS: The LLM struggles with raw SQL output formatting; providing structured JSON schema for e	True
2026-03-14T09:21:29.180863+00:00	32	quantitative	all	0.0	0.0	+0.0	HYPOTHESIS: The SQL queries are too generic and miss domain-specific financial metrics that the LLM 	True
2026-03-14T09:59:30.458986+00:00	33	quantitative	all	0.0	0.0	+0.0	HYPOTHESIS: The SQL queries are too generic, causing Supabase to return irrelevant financial data th	True
2026-03-14T10:37:20.555852+00:00	34	quantitative	all	0.0	0.0	+0.0	HYPOTHESIS: The SQL queries are too generic and miss domain-specific financial terminology that woul	True
